name,isFork,commits,branches,defaultBranch,releases,contributors,license,watchers,stargazers,forks,size,createdAt,pushedAt,updatedAt,homepage,mainLanguage,totalIssues,openIssues,totalPullRequests,openPullRequests,lastCommit,lastCommitSHA,hasWiki,isArchived
liferay/liferay-plugins,false,22785,3,7.0.x,0,207,Other,113,513,2118,1841295,"2009-09-25 10:56:21","2021-04-28 06:10:03","2021-04-28 06:10:15",,Java,0,0,203,9,"2021-04-28 02:38:46","7f30e96055826fc7971f3f6a424f75fbed1cd3b3",false,false
bndtools/bnd,false,15312,5,master,25,96,Other,43,475,285,717432,"2010-04-12 05:30:15","2022-07-28 05:32:08","2022-07-25 12:20:46",https://bndtools.org,Java,1983,72,3345,7,"2022-07-25 10:40:19","e3e979ea584def5ee430a01a003f096812a456ec",true,false
apache/jmeter,false,17754,5,master,0,56,"Apache License 2.0",330,6314,1760,91599,"2010-05-26 11:38:07","2022-07-23 08:34:14","2022-07-26 02:56:05",,Java,0,0,707,15,"2022-07-23 03:21:10","b73f69074f8b3b5d71767ab0fedb52f16a1e55d6",false,false
broadgsa/gatk,false,14533,1,master,26,67,,69,271,215,249428,"2011-06-28 01:08:01","2018-08-22 05:59:41","2020-12-07 09:16:42","https://software.broadinstitute.org/gatk/",Java,,,23,0,"2017-11-09 07:10:43","41147a655594c2aae6e2cad8462bd1648570b32b",false,false
apache/tomcat,false,24290,5,main,0,83,"Apache License 2.0",482,6175,4213,140491,"2011-10-01 07:00:19","2022-07-21 08:15:28","2022-07-22 06:44:12","https://tomcat.apache.org",Java,0,0,525,15,"2022-07-21 08:12:22","c8fce99bd7a688603c2e68a559124881ec01a066",false,false
apache/accumulo,false,11397,2,main,0,144,"Apache License 2.0",87,928,409,87581,"2011-10-06 07:00:09","2022-07-25 11:33:40","2022-07-25 06:27:00","https://accumulo.apache.org",Java,880,147,1935,36,"2022-07-25 09:38:44","f2710ceaeb8cada61605015931467ffd2b1f649e",false,false
libgdx/libgdx,false,15042,4,master,9,334,"Apache License 2.0",1208,20247,6316,1101558,"2012-08-10 07:34:38","2022-07-25 09:49:58","2022-07-26 06:23:40",http://www.libgdx.com/,Java,3506,171,3399,64,"2022-07-25 07:57:32","578ee828d495f76e6cc81324a0a3db7747fe52ed",true,false
apache/jena,false,10099,3,main,0,84,"Apache License 2.0",84,866,573,424857,"2013-01-04 08:00:32","2022-07-26 02:58:23","2022-07-25 05:45:42",https://jena.apache.org/,Java,72,13,1376,10,"2022-07-24 09:36:21","4501b7fc20eaf4607ce6894e73b65038ab25f383",false,false
processing/processing,false,13209,4,master,48,112,Other,430,6188,1518,1647980,"2013-01-24 09:17:22","2022-03-27 03:19:48","2022-03-28 05:24:52",http://processing.org,Java,5132,497,1043,28,"2022-03-27 03:19:42","8b15e4f548c1426df3a5ebe4c2106619faf7c4ba",true,false
broadgsa/gatk-protected,false,14533,1,master,26,69,,33,140,128,255234,"2013-02-25 02:28:50","2018-08-22 06:03:12","2020-10-28 03:48:44","https://software.broadinstitute.org/gatk/",Java,,,26,0,"2017-11-09 07:10:43","aa8764d6c3de146856b174a8674fa787a6311d7c",false,false
codefollower/h2-research,false,14455,1,master,0,128,Other,54,398,189,67608,"2013-04-09 02:25:26","2022-01-01 04:57:17","2022-01-01 04:57:25",,Java,4,3,6,0,"2022-01-01 04:57:11","0862491d04c4a36675093fad4a354b7c3d3b9a56",true,false
eugenp/tutorials,false,25104,3,master,0,317,"MIT License",1535,31265,49776,341441,"2013-04-29 06:26:36","2022-07-19 10:28:16","2022-07-19 11:38:49","http://bit.ly/github-lsso",Java,608,32,11904,37,"2022-07-19 06:23:18","3c409dfc3d416c19f46a0e50553be6cb3dc3a984",true,false
"codefollower/cassandra-research",false,18757,1,trunk,113,94,"Apache License 2.0",35,117,70,144242,"2013-06-18 07:35:05","2017-05-18 12:16:41","2020-12-07 06:52:04",,Java,2,2,1,1,"2016-04-15 12:14:40","a6c13c85dc0ee0f92c6af77f47136fb91a2e85ff",true,true
checkstyle/checkstyle,false,11520,3,master,117,314,"GNU Lesser General Public License v2.1",217,7138,8293,112746,"2013-08-31 02:05:05","2022-07-06 07:36:05","2022-07-06 10:15:01",https://checkstyle.org/,Java,4422,651,7403,52,"2022-07-05 07:13:29","2fabfede8c1396457085dd199605a32c33df764b",true,false
teammates/teammates,false,18135,4,master,140,361,"GNU General Public License v2.0",100,1249,2551,234917,"2014-05-02 07:43:00","2022-07-26 03:54:40","2022-07-24 02:58:03","https://teammatesv4.appspot.com/",Java,6798,86,5080,23,"2022-07-23 09:13:02","46979fb6f3b1752e47c0c0bf6984e34939265051",true,false
"hushnymous/android_frameworks_base",false,106421,1,master,0,347,Other,52,172,57,1182324,"2015-03-19 08:02:10","2015-03-19 09:00:30","2020-10-14 03:16:12",,Java,,,,,"2015-03-19 06:47:37","98a8672402ae50016f45fef28dacbb7ac66e935c",true,false
yacy/yacy_search_server,false,14277,1,master,0,60,Other,103,2634,371,820736,"2015-03-22 12:54:20","2022-07-10 07:17:37","2022-07-11 04:07:08",http://yacy.net,Java,359,170,129,0,"2022-07-10 07:17:37","2a2f0fa44a9ea6d18c3a90ee463b6b55e8f0c01b",false,false
h2database/h2database,false,13955,3,master,18,136,Other,135,3383,1063,87161,"2015-04-10 07:09:09","2022-07-25 08:06:14","2022-07-26 12:15:08",https://h2database.com,Java,1921,294,1654,18,"2022-07-25 08:06:13","091cbe21740cbd0cdceff4afb715a86e07ed814a",false,false
"typetools/checker-framework",false,17485,5,master,89,121,Other,41,837,305,225892,"2015-07-03 11:09:17","2022-07-17 05:01:20","2022-07-16 11:33:08","http://checkerframework.org/",Java,1705,316,3506,3,"2022-07-15 01:34:49","c37aff5ef28569e5bdadf681c81210d084de24df",false,false
megamek/megamek,false,22273,5,master,70,64,"GNU General Public License v2.0",49,212,168,791235,"2015-08-15 02:47:29","2022-07-26 01:57:28","2022-07-18 12:03:58",http://www.megamek.org,Java,2101,687,1664,17,"2022-07-25 04:16:53","b9b3de9abd9da37cca561c593929226c95fe8143",true,false
teamnewpipe/newpipe,false,10101,3,dev,119,316,"GNU General Public License v3.0",551,19863,2333,61867,"2015-09-03 11:39:26","2022-07-22 02:09:55","2022-07-22 01:16:01",https://newpipe.net,Java,6825,1068,1706,47,"2022-07-20 01:06:45","cacce6d2d0946ecf2b3cd79e20129031c2c0ca45",true,false
javaee/glassfish,false,35617,2,master,35,75,Other,101,716,191,338666,"2017-04-20 06:52:01","2020-04-24 08:20:35","2020-12-08 11:16:47","https://javaee.github.io/glassfish/",Java,,,559,0,"2020-04-15 03:11:44","371c9e1beb285a30bd4203ec86fde5729dbd06f9",true,false
tencent/tencentkona-8,false,49072,5,master,14,125,Other,41,762,105,420442,"2019-11-01 05:02:09","2022-04-30 01:41:28","2022-04-29 10:10:39",,Java,27,9,50,3,"2022-04-30 01:41:28","b12fa08f235e9ea258e7d1f8d20be9407365210a",true,false
polymorphicshade/newpipe,true,10203,2,sponsorblock,37,318,"GNU General Public License v3.0",40,2228,69,74496,"2020-03-08 07:55:07","2022-07-14 01:43:44","2022-07-17 07:13:24",,Java,159,23,39,1,"2022-07-13 02:00:16","e00fc5e8138ea200fae1d4f63d51b365697ab6b4",true,false
basexdb/basex,false,13003,2,master,0,55,"BSD 3-Clause New or Revised License",62,569,257,119864,"2011-02-16 03:02:14","2022-07-22 12:16:45","2022-07-25 12:29:25",http://basex.org,Java,1568,19,561,0,"2022-07-11 11:24:24","b8f93b01042fa54a554aa56f231ffac249089a18",true,false
openjdk/mobile,false,74166,1,master,0,136,Other,15,111,33,478611,"2019-08-30 11:51:43","2022-04-26 01:51:12","2022-04-15 11:33:13",,Java,0,0,15,3,"2022-04-26 01:44:10","f887a46540c61a028ace8327d9bcb8e1b370a9c7",false,false
apache/ofbiz-framework,false,28504,5,trunk,0,57,"Apache License 2.0",82,464,356,732637,"2017-02-13 08:00:07","2022-07-25 03:03:15","2022-07-20 03:17:08","https://ofbiz.apache.org/",Java,0,0,527,69,"2022-07-25 07:16:58","ead5f291469e59805f8ca6c28713ac301561d4c3",false,false
runelite/runelite,false,11960,3,master,0,363,"BSD 2-Clause Simplified License",96,3835,4547,51497,"2016-04-30 08:48:02","2022-07-25 09:11:48","2022-07-26 06:54:45",https://runelite.net,Java,8299,1337,6729,584,"2022-07-25 06:22:07","21c11203d00f2fe0bd526aed957b82addd023932",true,false
