Branche ,Date, Committer, #Files ,Cov Lines ,Tot lines ,Percentage ,Url ,Local ref
master ,Thu Mar 03 00:00:00 CET 2016, JJ, 2 ,77 ,85 ,90.59 ,https://coveralls.io/builds/5291837 ,82
master ,Tue Mar 08 00:00:00 CET 2016, JJ, 2 ,77 ,85 ,90.59 ,https://coveralls.io/builds/5342941 ,83
master ,Thu Mar 10 00:00:00 CET 2016, JJ, 2 ,77 ,85 ,90.59 ,https://coveralls.io/builds/5362739 ,84
master ,Thu Mar 17 00:00:00 CET 2016, JJ, 2 ,80 ,92 ,86.96 ,https://coveralls.io/builds/5447949 ,85
master ,Thu Mar 17 00:00:00 CET 2016, JJ, 2 ,73 ,94 ,77.66 ,https://coveralls.io/builds/5448228 ,86
master ,Thu Mar 17 00:00:00 CET 2016, JJ, 2 ,82 ,90 ,91.11 ,https://coveralls.io/builds/5448602 ,87
master ,Thu Mar 17 00:00:00 CET 2016, JJ, 2 ,83 ,91 ,91.21 ,https://coveralls.io/builds/5448622 ,88
master ,Thu Mar 17 00:00:00 CET 2016, JJ, 2 ,87 ,95 ,91.58 ,https://coveralls.io/builds/5454371 ,93
master ,Thu Mar 17 00:00:00 CET 2016, JJ, 2 ,87 ,95 ,91.58 ,https://coveralls.io/builds/5455476 ,94
master ,Mon Mar 21 00:00:00 CET 2016, JJ, 2 ,87 ,95 ,91.58 ,https://coveralls.io/builds/5485955 ,95
master ,Tue Apr 19 00:00:00 CEST 2016, iblancasa, 3 ,101 ,109 ,92.66 ,https://coveralls.io/builds/5850446 ,96
master ,Tue Apr 19 00:00:00 CEST 2016, iblancasa, 3 ,101 ,109 ,92.66 ,https://coveralls.io/builds/5851342 ,97
master ,Tue Apr 19 00:00:00 CEST 2016, iblancasa, 3 ,101 ,109 ,92.66 ,https://coveralls.io/builds/5851405 ,98
master ,Wed Apr 20 00:00:00 CEST 2016, JJ, 3 ,101 ,109 ,92.66 ,https://coveralls.io/builds/5855778 ,99
master ,Thu Apr 21 00:00:00 CEST 2016, iblancasa, 3 ,101 ,109 ,92.66 ,https://coveralls.io/builds/5885253 ,100
master ,Fri Apr 22 00:00:00 CEST 2016, JJ, 3 ,99 ,109 ,90.83 ,https://coveralls.io/builds/5889242 ,101
master ,Fri Apr 22 00:00:00 CEST 2016, iblancasa, 3 ,101 ,109 ,92.66 ,https://coveralls.io/builds/5901045 ,102
master ,Sat Apr 23 00:00:00 CEST 2016, JJ, 3 ,101 ,109 ,92.66 ,https://coveralls.io/builds/5902864 ,103
master ,Sat Apr 30 00:00:00 CEST 2016, iblancasa, 3 ,99 ,109 ,90.83 ,https://coveralls.io/builds/5997805 ,104
master ,Sun May 01 00:00:00 CEST 2016, JJ, 3 ,101 ,109 ,92.66 ,https://coveralls.io/builds/6001814 ,105
master ,Sat Jul 30 00:00:00 CEST 2016, JJ, 3 ,100 ,107 ,93.46 ,https://coveralls.io/builds/7234880 ,106
master ,Sun Jul 31 00:00:00 CEST 2016, JJ, 3 ,100 ,107 ,93.46 ,https://coveralls.io/builds/7238060 ,107
master ,Sun Jul 31 00:00:00 CEST 2016, JJ, 3 ,100 ,107 ,93.46 ,https://coveralls.io/builds/7238078 ,108
