Branche ,Date, Committer, #Files ,Cov Lines ,Tot lines ,Percentage ,Url ,Local ref
master ,Sun Apr 05 00:00:00 CEST 2015, gwelymernans, 21 ,1590 ,1747 ,91.01 ,https://coveralls.io/builds/2267773 ,34
master ,Sun Apr 05 00:00:00 CEST 2015, gwelymernans, 21 ,1578 ,1747 ,90.33 ,https://coveralls.io/builds/2267778 ,35
master ,Sun Apr 05 00:00:00 CEST 2015, gwelymernans, 21 ,1590 ,1747 ,91.01 ,https://coveralls.io/builds/2267852 ,36
master ,Sun Apr 05 00:00:00 CEST 2015, eliben, 21 ,1564 ,1747 ,89.52 ,https://coveralls.io/builds/2268329 ,37
master ,Sun Apr 05 00:00:00 CEST 2015, gwelymernans, 21 ,1586 ,1743 ,90.99 ,https://coveralls.io/builds/2269298 ,38
master ,Sun Apr 05 00:00:00 CEST 2015, gwelymernans, 21 ,1600 ,1758 ,91.01 ,https://coveralls.io/builds/2269641 ,39
master ,Sun Apr 05 00:00:00 CEST 2015, gwelymernans, 20 ,1541 ,1708 ,90.22 ,https://coveralls.io/builds/2270162 ,40
master ,Mon Apr 06 00:00:00 CEST 2015, gwelymernans, 20 ,1553 ,1708 ,90.93 ,https://coveralls.io/builds/2270395 ,41
master ,Mon Apr 06 00:00:00 CEST 2015, gwelymernans, 20 ,1553 ,1708 ,90.93 ,https://coveralls.io/builds/2270434 ,42
master ,Mon Apr 06 00:00:00 CEST 2015, gwelymernans, 20 ,1553 ,1708 ,90.93 ,https://coveralls.io/builds/2271105 ,43
master ,Mon Apr 06 00:00:00 CEST 2015, di, 20 ,1553 ,1708 ,90.93 ,https://coveralls.io/builds/2273052 ,44
master ,Mon Apr 06 00:00:00 CEST 2015, di, 20 ,1553 ,1708 ,90.93 ,https://coveralls.io/builds/2273066 ,45
master ,Mon Apr 06 00:00:00 CEST 2015, di, 20 ,1553 ,1708 ,90.93 ,https://coveralls.io/builds/2273092 ,46
master ,Mon Apr 06 00:00:00 CEST 2015, sbc100, 20 ,1580 ,1712 ,92.29 ,https://coveralls.io/builds/2274860 ,47
master ,Mon Apr 06 00:00:00 CEST 2015, sbc100, 20 ,1580 ,1712 ,92.29 ,https://coveralls.io/builds/2275668 ,48
master ,Mon Apr 06 00:00:00 CEST 2015, sbc100, 20 ,1580 ,1712 ,92.29 ,https://coveralls.io/builds/2275685 ,49
master ,Mon Apr 06 00:00:00 CEST 2015, gwelymernans, 20 ,1553 ,1708 ,90.93 ,https://coveralls.io/builds/2278094 ,50
master ,Mon Apr 06 00:00:00 CEST 2015, eliben, 20 ,1541 ,1708 ,90.22 ,https://coveralls.io/builds/2278279 ,52
master ,Mon Apr 06 00:00:00 CEST 2015, eliben, 20 ,1553 ,1708 ,90.93 ,https://coveralls.io/builds/2278320 ,56
master ,Mon Apr 06 00:00:00 CEST 2015, gwelymernans, 20 ,1553 ,1708 ,90.93 ,https://coveralls.io/builds/2278446 ,57
master ,Tue Apr 07 00:00:00 CEST 2015, eliben, 20 ,1553 ,1708 ,90.93 ,https://coveralls.io/builds/2278147 ,51
master ,Tue Apr 07 00:00:00 CEST 2015, eliben, 20 ,1553 ,1708 ,90.93 ,https://coveralls.io/builds/2278295 ,53
v0.1.4 ,Tue Apr 07 00:00:00 CEST 2015, eliben, 20 ,1553 ,1708 ,90.93 ,https://coveralls.io/builds/2278300 ,54
master ,Tue Apr 07 00:00:00 CEST 2015, eliben, 20 ,1553 ,1708 ,90.93 ,https://coveralls.io/builds/2278313 ,55
master ,Tue Apr 07 00:00:00 CEST 2015, hayd, 20 ,1554 ,1710 ,90.88 ,https://coveralls.io/builds/2278632 ,58
master ,Tue Apr 07 00:00:00 CEST 2015, hayd, 20 ,1542 ,1710 ,90.18 ,https://coveralls.io/builds/2278637 ,59
master ,Wed Apr 08 00:00:00 CEST 2015, gwelymernans, 20 ,1554 ,1710 ,90.88 ,https://coveralls.io/builds/2287848 ,60
master ,Wed Apr 08 00:00:00 CEST 2015, gwelymernans, 20 ,1581 ,1714 ,92.24 ,https://coveralls.io/builds/2287876 ,61
master ,Wed Apr 08 00:00:00 CEST 2015, gwelymernans, 20 ,1581 ,1714 ,92.24 ,https://coveralls.io/builds/2287882 ,62
master ,Wed Apr 08 00:00:00 CEST 2015, gwelymernans, 20 ,1581 ,1714 ,92.24 ,https://coveralls.io/builds/2287955 ,63
master ,Wed Apr 08 00:00:00 CEST 2015, gwelymernans, 20 ,1585 ,1714 ,92.47 ,https://coveralls.io/builds/2288035 ,64
master ,Wed Apr 08 00:00:00 CEST 2015, sbc100, 20 ,1585 ,1714 ,92.47 ,https://coveralls.io/builds/2292864 ,65
master ,Wed Apr 08 00:00:00 CEST 2015, sbc100, 0 ,1573 ,1714 ,91.77 ,https://coveralls.io/builds/2293487 ,66
master ,Wed Apr 08 00:00:00 CEST 2015, gwelymernans, 20 ,1585 ,1714 ,92.47 ,https://coveralls.io/builds/2294860 ,67
master ,Wed Apr 08 00:00:00 CEST 2015, gwelymernans, 20 ,1573 ,1714 ,91.77 ,https://coveralls.io/builds/2294880 ,68
master ,Wed Apr 08 00:00:00 CEST 2015, sbc100, 20 ,1577 ,1706 ,92.44 ,https://coveralls.io/builds/2296042 ,69
master ,Thu Apr 09 00:00:00 CEST 2015, gwelymernans, 20 ,1594 ,1721 ,92.62 ,https://coveralls.io/builds/2297083 ,70
master ,Thu Apr 09 00:00:00 CEST 2015, gwelymernans, 20 ,1597 ,1724 ,92.63 ,https://coveralls.io/builds/2297660 ,71
master ,Thu Apr 09 00:00:00 CEST 2015, eliben, 20 ,1597 ,1724 ,92.63 ,https://coveralls.io/builds/2299580 ,72
master ,Thu Apr 09 00:00:00 CEST 2015, eliben, 20 ,1598 ,1725 ,92.64 ,https://coveralls.io/builds/2299938 ,73
master ,Thu Apr 09 00:00:00 CEST 2015, gwelymernans, 20 ,1598 ,1725 ,92.64 ,https://coveralls.io/builds/2303630 ,74
master ,Thu Apr 09 00:00:00 CEST 2015, gwelymernans, 20 ,1590 ,1729 ,91.96 ,https://coveralls.io/builds/2303781 ,75
master ,Thu Apr 09 00:00:00 CEST 2015, gwelymernans, 20 ,1611 ,1738 ,92.69 ,https://coveralls.io/builds/2304107 ,76
master ,Fri Apr 10 00:00:00 CEST 2015, gwelymernans, 20 ,1615 ,1755 ,92.02 ,https://coveralls.io/builds/2311235 ,77
v0.1.5 ,Sat Apr 11 00:00:00 CEST 2015, gwelymernans, 20 ,1618 ,1759 ,91.98 ,https://coveralls.io/builds/2371612 ,10
master ,Sat Apr 11 00:00:00 CEST 2015, pignacio, 20 ,1602 ,1754 ,91.33 ,https://coveralls.io/builds/2315064 ,78
master ,Sat Apr 11 00:00:00 CEST 2015, gwelymernans, 20 ,1618 ,1759 ,91.98 ,https://coveralls.io/builds/2317161 ,79
master ,Sat Apr 11 00:00:00 CEST 2015, gwelymernans, 20 ,1618 ,1759 ,91.98 ,https://coveralls.io/builds/2317162 ,80
master ,Sat Apr 11 00:00:00 CEST 2015, gwelymernans, 20 ,1618 ,1759 ,91.98 ,https://coveralls.io/builds/2317348 ,81
master ,Mon Apr 13 00:00:00 CEST 2015, tedmiston, 20 ,1618 ,1759 ,91.98 ,https://coveralls.io/builds/2322638 ,82
master ,Mon Apr 13 00:00:00 CEST 2015, alexjurkiewicz, 20 ,1617 ,1775 ,91.1 ,https://coveralls.io/builds/2323212 ,83
master ,Tue Apr 14 00:00:00 CEST 2015, hayd, 20 ,1612 ,1768 ,91.18 ,https://coveralls.io/builds/2331738 ,84
master ,Tue Apr 14 00:00:00 CEST 2015, hayd, 20 ,1627 ,1774 ,91.71 ,https://coveralls.io/builds/2331989 ,85
