Branche ,Date, Committer, #Files ,Cov Lines ,Tot lines ,Percentage ,Url ,Local ref
master ,Tue Dec 06 00:00:00 CET 2016, web-flow, 71 ,2946 ,4026 ,73.17 ,https://coveralls.io/builds/9144979 ,1949
master ,Tue Dec 06 00:00:00 CET 2016, web-flow, 71 ,2946 ,4026 ,73.17 ,https://coveralls.io/builds/9145586 ,1950
master ,Tue Dec 06 00:00:00 CET 2016, web-flow, 71 ,2843 ,4027 ,70.6 ,https://coveralls.io/builds/9147864 ,1955
master ,Tue Dec 06 00:00:00 CET 2016, web-flow, 71 ,2946 ,4027 ,73.16 ,https://coveralls.io/builds/9148388 ,1959
master ,Tue Dec 06 00:00:00 CET 2016, web-flow, 71 ,2946 ,4027 ,73.16 ,https://coveralls.io/builds/9148686 ,1960
master ,Tue Dec 06 00:00:00 CET 2016, web-flow, 71 ,2843 ,4027 ,70.6 ,https://coveralls.io/builds/9150072 ,1961
master ,Tue Dec 06 00:00:00 CET 2016, bolerio, 71 ,2946 ,4027 ,73.16 ,https://coveralls.io/builds/9150129 ,1962
master ,Tue Dec 06 00:00:00 CET 2016, web-flow, 71 ,2946 ,4027 ,73.16 ,https://coveralls.io/builds/9151366 ,1963
master ,Tue Dec 06 00:00:00 CET 2016, web-flow, 71 ,2967 ,4046 ,73.33 ,https://coveralls.io/builds/9153262 ,1964
master ,Tue Dec 06 00:00:00 CET 2016, web-flow, 71 ,2864 ,4046 ,70.79 ,https://coveralls.io/builds/9153312 ,1965
master ,Tue Dec 06 00:00:00 CET 2016, web-flow, 71 ,2967 ,4046 ,73.33 ,https://coveralls.io/builds/9153475 ,1966
master ,Tue Dec 06 00:00:00 CET 2016, web-flow, 71 ,2946 ,4027 ,73.16 ,https://coveralls.io/builds/9154409 ,1975
master ,Tue Dec 06 00:00:00 CET 2016, bolerio, 71 ,2843 ,4027 ,70.6 ,https://coveralls.io/builds/9162469 ,1977
master ,Tue Dec 06 00:00:00 CET 2016, bolerio, 71 ,2946 ,4027 ,73.16 ,https://coveralls.io/builds/9162466 ,1978
master ,Wed Dec 07 00:00:00 CET 2016, bolerio, 71 ,2843 ,4027 ,70.6 ,https://coveralls.io/builds/9162494 ,1976
master ,Wed Dec 07 00:00:00 CET 2016, web-flow, 71 ,2965 ,4045 ,73.3 ,https://coveralls.io/builds/9166522 ,1981
master ,Wed Dec 07 00:00:00 CET 2016, web-flow, 71 ,2946 ,4027 ,73.16 ,https://coveralls.io/builds/9166185 ,1982
master ,Wed Dec 07 00:00:00 CET 2016, web-flow, 71 ,2862 ,4045 ,70.75 ,https://coveralls.io/builds/9166497 ,1984
master ,Wed Dec 07 00:00:00 CET 2016, web-flow, 71 ,2946 ,4027 ,73.16 ,https://coveralls.io/builds/9166775 ,1985
master ,Wed Dec 07 00:00:00 CET 2016, fppt, 71 ,2946 ,4027 ,73.16 ,https://coveralls.io/builds/9167156 ,1986
master ,Wed Dec 07 00:00:00 CET 2016, web-flow, 71 ,2965 ,4045 ,73.3 ,https://coveralls.io/builds/9167199 ,1987
master ,Wed Dec 07 00:00:00 CET 2016, fppt, 71 ,2965 ,4045 ,73.3 ,https://coveralls.io/builds/9167333 ,1988
master ,Wed Dec 07 00:00:00 CET 2016, web-flow, 71 ,2968 ,4048 ,73.32 ,https://coveralls.io/builds/9169704 ,1990
master ,Wed Dec 07 00:00:00 CET 2016, web-flow, 71 ,2967 ,4047 ,73.31 ,https://coveralls.io/builds/9172112 ,1992
master ,Wed Dec 07 00:00:00 CET 2016, web-flow, 71 ,2965 ,4045 ,73.3 ,https://coveralls.io/builds/9172390 ,1993
