Branche ,Date, Committer, #Files ,Cov Lines ,Tot lines ,Percentage ,Url ,Local ref
 master ,Sun Mar 26 00:00:00 CET 2017, by vlm, 89 ,10702 ,14040 ,76.23 ,https://coveralls.io/builds/10776533 ,00
 master ,Sun Mar 26 00:00:00 CET 2017, by web-flow, 89 ,10702 ,14040 ,76.23 ,https://coveralls.io/builds/10776542 ,01
 master ,Sun Mar 26 00:00:00 CET 2017, by vlm, 89 ,10702 ,14040 ,76.23 ,https://coveralls.io/builds/10776541 ,02
 master ,Sun Mar 26 00:00:00 CET 2017, by vlm, 89 ,10701 ,14039 ,76.22 ,https://coveralls.io/builds/10776577 ,03
 master ,Sun Mar 26 00:00:00 CET 2017, by web-flow, 89 ,10701 ,14039 ,76.22 ,https://coveralls.io/builds/10776584 ,04
 master ,Sun Mar 26 00:00:00 CET 2017, by web-flow, 89 ,10701 ,14039 ,76.22 ,https://coveralls.io/builds/10776611 ,05
 master ,Sun Mar 26 00:00:00 CET 2017, by vlm, 89 ,10701 ,14039 ,76.22 ,https://coveralls.io/builds/10776614 ,06
 master ,Sun Mar 26 00:00:00 CET 2017, by web-flow, 89 ,10719 ,14039 ,76.35 ,https://coveralls.io/builds/10776637 ,09
 master ,Sun Mar 26 00:00:00 CET 2017, by vlm, 89 ,10719 ,14039 ,76.35 ,https://coveralls.io/builds/10776653 ,10
 master ,Sun Mar 26 00:00:00 CET 2017, by vlm, 89 ,10719 ,14039 ,76.35 ,https://coveralls.io/builds/10776817 ,11
 master ,Sun Mar 26 00:00:00 CET 2017, by web-flow, 89 ,10780 ,14093 ,76.49 ,https://coveralls.io/builds/10776844 ,12
 master ,Sun Mar 26 00:00:00 CET 2017, by vlm, 89 ,10780 ,14093 ,76.49 ,https://coveralls.io/builds/10777108 ,13
 master ,Sun Mar 26 00:00:00 CET 2017, by vlm, 89 ,10780 ,14093 ,76.49 ,https://coveralls.io/builds/10780844 ,14
 master ,Mon Mar 27 00:00:00 CEST 2017, by vlm, 89 ,14472 ,18589 ,77.85 ,https://coveralls.io/builds/10783125 ,15
 master ,Tue Mar 28 00:00:00 CEST 2017, by web-flow, 88 ,13818 ,17821 ,77.54 ,https://coveralls.io/builds/10814482 ,17
 master ,Tue Mar 28 00:00:00 CEST 2017, by web-flow, 89 ,14407 ,18526 ,77.77 ,https://coveralls.io/builds/10814689 ,19
 master ,Tue Mar 28 00:00:00 CEST 2017, by web-flow, 88 ,14421 ,18516 ,77.88 ,https://coveralls.io/builds/10814735 ,20
 master ,Tue Apr 11 00:00:00 CEST 2017, by web-flow, 89 ,14472 ,18589 ,77.85 ,https://coveralls.io/builds/11031275 ,21
 master ,Tue Apr 11 00:00:00 CEST 2017, by web-flow, 89 ,14483 ,18599 ,77.87 ,https://coveralls.io/builds/11033919 ,22
 master ,Fri Apr 21 00:00:00 CEST 2017, by web-flow, 89 ,14472 ,18589 ,77.85 ,https://coveralls.io/builds/11176744 ,23
 master ,Fri Apr 21 00:00:00 CEST 2017, by web-flow, 89 ,14472 ,18589 ,77.85 ,https://coveralls.io/builds/11176990 ,24
 master ,Fri May 05 00:00:00 CEST 2017, by web-flow, 89 ,14520 ,18638 ,77.91 ,https://coveralls.io/builds/11385351 ,25
 master ,Fri May 05 00:00:00 CEST 2017, by web-flow, 89 ,14520 ,18638 ,77.91 ,https://coveralls.io/builds/11385602 ,26
 master ,Fri May 05 00:00:00 CEST 2017, by web-flow, 89 ,14520 ,18638 ,77.91 ,https://coveralls.io/builds/11386215 ,27
 master ,Fri May 05 00:00:00 CEST 2017, by web-flow, 89 ,14520 ,18638 ,77.91 ,https://coveralls.io/builds/11386265 ,28
 master ,Fri May 05 00:00:00 CEST 2017, by vlm, 89 ,14520 ,18638 ,77.91 ,https://coveralls.io/builds/11386343 ,29
 master ,Sun May 07 00:00:00 CEST 2017, by web-flow, 89 ,14520 ,18638 ,77.91 ,https://coveralls.io/builds/11406794 ,30
 master ,Sun May 07 00:00:00 CEST 2017, by web-flow, 88 ,13603 ,17497 ,77.74 ,https://coveralls.io/builds/11408351 ,31
 master ,Sun May 07 00:00:00 CEST 2017, by web-flow, 88 ,13604 ,17498 ,77.75 ,https://coveralls.io/builds/11408545 ,32
 master ,Mon May 08 00:00:00 CEST 2017, by web-flow, 88 ,13608 ,17498 ,77.77 ,https://coveralls.io/builds/11413534 ,33
 master ,Mon May 08 00:00:00 CEST 2017, by web-flow, 53 ,7530 ,10508 ,71.66 ,https://coveralls.io/builds/11415781 ,35
 master ,Tue May 09 00:00:00 CEST 2017, by web-flow, 89 ,14520 ,18638 ,77.91 ,https://coveralls.io/builds/11432253 ,37
 master ,Tue May 09 00:00:00 CEST 2017, by web-flow, 89 ,14523 ,18641 ,77.91 ,https://coveralls.io/builds/11432755 ,38
 master ,Tue May 09 00:00:00 CEST 2017, by web-flow, 89 ,14520 ,18638 ,77.91 ,https://coveralls.io/builds/11432827 ,39
 master ,Tue May 09 00:00:00 CEST 2017, by web-flow, 89 ,14520 ,18638 ,77.91 ,https://coveralls.io/builds/11433266 ,40
 master ,Fri May 19 00:00:00 CEST 2017, by web-flow, 88 ,14475 ,18583 ,77.89 ,https://coveralls.io/builds/11594986 ,41
 master ,Sun May 21 00:00:00 CEST 2017, by web-flow, 89 ,14520 ,18638 ,77.91 ,https://coveralls.io/builds/11620216 ,42
 master ,Tue Jun 27 00:00:00 CEST 2017, by vlm, 53 ,7531 ,10508 ,71.67 ,https://coveralls.io/builds/12152954 ,46
 master ,Tue Jun 27 00:00:00 CEST 2017, by web-flow, 53 ,7531 ,10508 ,71.67 ,https://coveralls.io/builds/12153025 ,47
 master ,Tue Jun 27 00:00:00 CEST 2017, by web-flow, 53 ,7531 ,10508 ,71.67 ,https://coveralls.io/builds/12153038 ,48
 master ,Tue Jun 27 00:00:00 CEST 2017, by web-flow, 53 ,7531 ,10508 ,71.67 ,https://coveralls.io/builds/12153167 ,49
 master ,Tue Jun 27 00:00:00 CEST 2017, by web-flow, 53 ,7534 ,10511 ,71.68 ,https://coveralls.io/builds/12153218 ,50
 master ,Tue Jun 27 00:00:00 CEST 2017, by vlm, 53 ,7534 ,10511 ,71.68 ,https://coveralls.io/builds/12153237 ,51
 master ,Wed Jun 28 00:00:00 CEST 2017, by vlm, 53 ,7534 ,10511 ,71.68 ,https://coveralls.io/builds/12171409 ,52
 master ,Wed Jun 28 00:00:00 CEST 2017, by vlm, 53 ,7534 ,10511 ,71.68 ,https://coveralls.io/builds/12171496 ,53
 master ,Wed Jun 28 00:00:00 CEST 2017, by vlm, 53 ,7534 ,10511 ,71.68 ,https://coveralls.io/builds/12171547 ,54
 master ,Thu Jun 29 00:00:00 CEST 2017, by web-flow, 53 ,7532 ,10509 ,71.67 ,https://coveralls.io/builds/12182574 ,56
 master ,Wed Jul 05 00:00:00 CEST 2017, by vlm, 53 ,7218 ,10193 ,70.81 ,https://coveralls.io/builds/12265446 ,57
 master ,Wed Jul 05 00:00:00 CEST 2017, by vlm, 53 ,7534 ,10542 ,71.47 ,https://coveralls.io/builds/12268563 ,58
 master ,Wed Jul 05 00:00:00 CEST 2017, by vlm, 53 ,7534 ,10542 ,71.47 ,https://coveralls.io/builds/12268658 ,60
 master ,Thu Jul 06 00:00:00 CEST 2017, by vlm, 53 ,6116 ,8637 ,70.81 ,https://coveralls.io/builds/12268925 ,61
 master ,Thu Jul 06 00:00:00 CEST 2017, by vlm, 53 ,7534 ,10542 ,71.47 ,https://coveralls.io/builds/12269506 ,62
 master ,Thu Jul 06 00:00:00 CEST 2017, by vlm, 53 ,7534 ,10542 ,71.47 ,https://coveralls.io/builds/12277157 ,63
 master ,Thu Jul 06 00:00:00 CEST 2017, by vlm, 53 ,7534 ,10542 ,71.47 ,https://coveralls.io/builds/12277715 ,64
 master ,Thu Jul 06 00:00:00 CEST 2017, by vlm, 53 ,7534 ,10542 ,71.47 ,https://coveralls.io/builds/12279203 ,65
 patch-1 DEFAULT BRANCH ,Thu Jul 06 00:00:00 CEST 2017, by vlm, 31 ,3228 ,4050 ,79.7 ,https://coveralls.io/builds/12279566 ,66
 patch-1 DEFAULT BRANCH ,Wed Aug 02 00:00:00 CEST 2017, by vlm, 31 ,3388 ,4242 ,79.87 ,https://coveralls.io/builds/12665298 ,94
 master ,Wed Aug 02 00:00:00 CEST 2017, by web-flow, 53 ,7534 ,10542 ,71.47 ,https://coveralls.io/builds/12665345 ,95
 patch-1 DEFAULT BRANCH ,Wed Aug 02 00:00:00 CEST 2017, by vlm, 31 ,3388 ,4242 ,79.87 ,https://coveralls.io/builds/12665374 ,96
 master ,Wed Aug 02 00:00:00 CEST 2017, by vlm, 31 ,3388 ,4242 ,79.87 ,https://coveralls.io/builds/12665517 ,97
 master ,Wed Aug 02 00:00:00 CEST 2017, by vlm, 31 ,3389 ,4246 ,79.82 ,https://coveralls.io/builds/12666234 ,98
 master ,Thu Aug 03 00:00:00 CEST 2017, by web-flow, 31 ,3389 ,4246 ,79.82 ,https://coveralls.io/builds/12673411 ,99
 master ,Fri Aug 04 00:00:00 CEST 2017, by vlm, 31 ,3389 ,4246 ,79.82 ,https://coveralls.io/builds/12689688 ,00
 master ,Mon Aug 07 00:00:00 CEST 2017, by vlm, 34 ,5120 ,6653 ,76.96 ,https://coveralls.io/builds/12718596 ,17
 master ,Mon Aug 07 00:00:00 CEST 2017, by vlm, 34 ,5120 ,6653 ,76.96 ,https://coveralls.io/builds/12718624 ,18
 master ,Tue Aug 08 00:00:00 CEST 2017, by vlm, 34 ,5120 ,6653 ,76.96 ,https://coveralls.io/builds/12734212 ,19
 master ,Tue Aug 08 00:00:00 CEST 2017, by vlm, 56 ,9306 ,12940 ,71.92 ,https://coveralls.io/builds/12735180 ,20
 master ,Tue Aug 08 00:00:00 CEST 2017, by vlm, 34 ,3303 ,4460 ,74.06 ,https://coveralls.io/builds/12738324 ,21
 master ,Tue Aug 08 00:00:00 CEST 2017, by vlm, 57 ,9394 ,13056 ,71.95 ,https://coveralls.io/builds/12738350 ,22
 master ,Thu Aug 10 00:00:00 CEST 2017, by vlm, 57 ,9313 ,13032 ,71.46 ,https://coveralls.io/builds/12777903 ,23
 master ,Thu Aug 10 00:00:00 CEST 2017, by web-flow, 57 ,8990 ,13032 ,68.98 ,https://coveralls.io/builds/12782714 ,24
 master ,Thu Aug 10 00:00:00 CEST 2017, by vlm, 57 ,9313 ,13032 ,71.46 ,https://coveralls.io/builds/12786871 ,25
 master ,Thu Aug 10 00:00:00 CEST 2017, by vlm, 57 ,9483 ,13217 ,71.75 ,https://coveralls.io/builds/12787158 ,26
 master ,Fri Aug 11 00:00:00 CEST 2017, by vlm, 57 ,9490 ,13222 ,71.77 ,https://coveralls.io/builds/12788683 ,27
 master ,Fri Aug 11 00:00:00 CEST 2017, by vlm, 57 ,9168 ,13223 ,69.33 ,https://coveralls.io/builds/12788881 ,28
 master ,Fri Aug 11 00:00:00 CEST 2017, by vlm, 34 ,5132 ,6683 ,76.79 ,https://coveralls.io/builds/12791905 ,29
