Branche ,Date, Committer, #Files ,Cov Lines ,Tot lines ,Percentage ,Url ,Local ref
 master ,Sat Jun 14 00:00:00 CEST 2014 ,by romani, 348, 10458, 11827, 88.42, https://coveralls.io/builds/868215, 1
 master ,Sat Jun 14 00:00:00 CEST 2014 ,by romani, 329, 8959, 9961, 89.94, https://coveralls.io/builds/868227, 45
 master ,Sat Jun 14 00:00:00 CEST 2014 ,by romani, 252, 8922, 9924, 89.9, https://coveralls.io/builds/868350, 48
 master ,Sat Jun 14 00:00:00 CEST 2014 ,by romani, 252, 8922, 9924, 89.9, https://coveralls.io/builds/868363, 49
 master ,Sat Jun 14 00:00:00 CEST 2014 ,by romani, 252, 8028, 8935, 89.85, https://coveralls.io/builds/868342, 146
 master ,Sun Jun 15 00:00:00 CEST 2014 ,by romani, 252, 8922, 9924, 89.9, https://coveralls.io/builds/868712, 51
 master ,Sat Jun 28 00:00:00 CEST 2014 ,by isopov, 252, 8922, 9924, 89.9, https://coveralls.io/builds/913165, 52
 master ,Sat Jun 28 00:00:00 CEST 2014 ,by isopov, 252, 8922, 9924, 89.9, https://coveralls.io/builds/913767, 53
 master ,Sat Jun 28 00:00:00 CEST 2014 ,by romani, 252, 8922, 9924, 89.9, https://coveralls.io/builds/913969, 54
 master ,Mon Jun 30 00:00:00 CEST 2014 ,by isopov, 252, 8923, 9925, 89.9, https://coveralls.io/builds/917744, 55
 master ,Mon Jun 30 00:00:00 CEST 2014 ,by romani, 252, 8922, 9924, 89.9, https://coveralls.io/builds/918041, 57
 master ,Mon Jun 30 00:00:00 CEST 2014 ,by maxvetrenko, 252, 8941, 9943, 89.92, https://coveralls.io/builds/918290, 58
 master ,Tue Jul 01 00:00:00 CEST 2014 ,by romani, 252, 8941, 9943, 89.92, https://coveralls.io/builds/920124, 60
 master ,Tue Jul 01 00:00:00 CEST 2014 ,by vlsi, 252, 8997, 9999, 89.98, https://coveralls.io/builds/920295, 61
 master ,Wed Jul 02 00:00:00 CEST 2014 ,by isopov, 252, 8938, 9941, 89.91, https://coveralls.io/builds/924904, 62
 master ,Wed Jul 02 00:00:00 CEST 2014 ,by isopov, 252, 8942, 9944, 89.92, https://coveralls.io/builds/924909, 63
 master ,Thu Jul 03 00:00:00 CEST 2014 ,by maxvetrenko, 0, 8960, 9962, 89.94, https://coveralls.io/builds/929388, 65
 master ,Thu Jul 03 00:00:00 CEST 2014 ,by maxvetrenko, 252, 8960, 9962, 89.94, https://coveralls.io/builds/929437, 66
 master ,Thu Jul 03 00:00:00 CEST 2014 ,by dominic-jones, 252, 8942, 9944, 89.92, https://coveralls.io/builds/930528, 67
 master ,Fri Jul 04 00:00:00 CEST 2014 ,by maroontress, 0, 8944, 9944, 89.94, https://coveralls.io/builds/932099, 68
 master ,Sat Jul 05 00:00:00 CEST 2014 ,by maxvetrenko, 0, 8960, 9962, 89.94, https://coveralls.io/builds/935400, 69
 master ,Sat Jul 05 00:00:00 CEST 2014 ,by maxvetrenko, 0, 8960, 9962, 89.94, https://coveralls.io/builds/935406, 70
 master ,Sat Jul 05 00:00:00 CEST 2014 ,by maxvetrenko, 253, 8948, 9950, 89.93, https://coveralls.io/builds/935412, 73
 master ,Sat Jul 05 00:00:00 CEST 2014 ,by romani, 253, 8948, 9950, 89.93, https://coveralls.io/builds/935815, 75
 master ,Sat Jul 05 00:00:00 CEST 2014 ,by romani, 254, 8973, 9976, 89.95, https://coveralls.io/builds/935941, 76
 master ,Sat Jul 05 00:00:00 CEST 2014 ,by romani, 254, 8991, 9994, 89.96, https://coveralls.io/builds/936059, 77
 master ,Sun Jul 06 00:00:00 CEST 2014 ,by tobiasbaum, 254, 8992, 9995, 89.96, https://coveralls.io/builds/937443, 78
 master ,Sun Jul 06 00:00:00 CEST 2014 ,by tobiasbaum, 254, 8992, 9995, 89.96, https://coveralls.io/builds/938884, 79
 master ,Mon Jul 07 00:00:00 CEST 2014 ,by romani, 254, 8992, 9995, 89.96, https://coveralls.io/builds/942290, 80
 master ,Tue Jul 08 00:00:00 CEST 2014 ,by dominic-jones, 254, 8992, 9995, 89.96, https://coveralls.io/builds/945464, 81
 master ,Wed Jul 09 00:00:00 CEST 2014 ,by maroontress, 254, 8994, 9995, 89.98, https://coveralls.io/builds/946782, 82
 master ,Wed Jul 09 00:00:00 CEST 2014 ,Fast Software, 254, 8994, 9995, 89.98, https://coveralls.io/builds/961081, 88
 master ,Fri Jul 11 00:00:00 CEST 2014 ,by maxvetrenko, 961, 38355, 91080, 42.11, https://coveralls.io/builds/956318, 83
 master ,Sat Jul 12 00:00:00 CEST 2014 ,by maxvetrenko, 254, 9005, 10008, 89.98, https://coveralls.io/builds/960523, 87
 master ,Sun Jul 13 00:00:00 CEST 2014 ,by kutzi, 254, 8995, 9996, 89.99, https://coveralls.io/builds/966579, 00
 master ,Sun Jul 13 00:00:00 CEST 2014 ,by peteroupc, 254, 8994, 9995, 89.98, https://coveralls.io/builds/961231, 89
 master ,Sun Jul 13 00:00:00 CEST 2014 ,by peteroupc, 254, 8994, 9995, 89.98, https://coveralls.io/builds/961451, 90
 master ,Sun Jul 13 00:00:00 CEST 2014 ,by kutzi, 254, 8995, 9996, 89.99, https://coveralls.io/builds/961777, 91
 master ,Sun Jul 13 00:00:00 CEST 2014 ,by maroontress, 255, 8998, 9998, 90.0, https://coveralls.io/builds/962264, 92
 master ,Mon Jul 14 00:00:00 CEST 2014 ,by daniilyar, 254, 8995, 9996, 89.99, https://coveralls.io/builds/966765, 01
 master ,Mon Jul 14 00:00:00 CEST 2014 ,by maxvetrenko, 254, 9007, 10008, 90.0, https://coveralls.io/builds/964522, 94
 master ,Mon Jul 14 00:00:00 CEST 2014 ,by maxvetrenko, 254, 9007, 10008, 90.0, https://coveralls.io/builds/964529, 95
 master ,Mon Jul 14 00:00:00 CEST 2014 ,by maxvetrenko, 255, 9017, 10018, 90.01, https://coveralls.io/builds/964553, 96
 master ,Mon Jul 14 00:00:00 CEST 2014 ,by maxvetrenko, 255, 9013, 10015, 90.0, https://coveralls.io/builds/964559, 97
 master ,Mon Jul 14 00:00:00 CEST 2014 ,by baratali, 254, 9125, 10119, 90.18, https://coveralls.io/builds/966285, 99
 master ,Wed Jul 16 00:00:00 CEST 2014 ,by romani, 255, 9014, 10016, 90.0, https://coveralls.io/builds/971778, 02
 master ,Wed Jul 16 00:00:00 CEST 2014 ,by romani, 256, 9037, 10039, 90.02, https://coveralls.io/builds/971793, 03
 master ,Wed Jul 16 00:00:00 CEST 2014 ,by baratali, 256, 9168, 10163, 90.21, https://coveralls.io/builds/972043, 04
 master ,Wed Jul 16 00:00:00 CEST 2014 ,by baratali, 256, 9168, 10163, 90.21, https://coveralls.io/builds/972050, 05
 master ,Wed Jul 16 00:00:00 CEST 2014 ,by maxvetrenko, 256, 9050, 10052, 90.03, https://coveralls.io/builds/973026, 07
 master ,Wed Jul 16 00:00:00 CEST 2014 ,by maxvetrenko, 0, 9037, 10039, 90.02, https://coveralls.io/builds/974515, 12
 master ,Wed Jul 16 00:00:00 CEST 2014 ,by maxvetrenko, 0, 9046, 10048, 90.03, https://coveralls.io/builds/974914, 14
 master ,Wed Jul 16 00:00:00 CEST 2014 ,by maxvetrenko, 0, 9046, 10048, 90.03, https://coveralls.io/builds/974933, 15
 master ,Wed Jul 16 00:00:00 CEST 2014 ,by maxvetrenko, 256, 9037, 10039, 90.02, https://coveralls.io/builds/975605, 16
 master ,Thu Jul 17 00:00:00 CEST 2014 ,by romani, 256, 9050, 10052, 90.03, https://coveralls.io/builds/975611, 17
 master ,Thu Jul 17 00:00:00 CEST 2014 ,by romani, 256, 9059, 10061, 90.04, https://coveralls.io/builds/975621, 18
 master ,Fri Jul 18 00:00:00 CEST 2014 ,by maxvetrenko, 257, 9102, 10104, 90.08, https://coveralls.io/builds/981216, 19
 master ,Fri Jul 18 00:00:00 CEST 2014 ,by romani, 257, 9102, 10104, 90.08, https://coveralls.io/builds/982345, 20
 master ,Sun Jul 20 00:00:00 CEST 2014 ,Daniil Yaroslavtsev, 257, 9102, 10104, 90.08, https://coveralls.io/builds/986787, 21
 master ,Sun Jul 20 00:00:00 CEST 2014 ,by romani, 257, 9102, 10104, 90.08, https://coveralls.io/builds/987599, 22
