Branche ,Date, Committer, #Files ,Cov Lines ,Tot lines ,Percentage ,Url ,Local ref
master ,Sun Apr 05 00:00:00 CEST 2015 ,gwelymernans, 20, 1541, 1708, 90.22, https://coveralls.io/builds/2270162, 140
master ,Sun Apr 05 00:00:00 CEST 2015 ,gwelymernans, 21, 1600, 1758, 91.01, https://coveralls.io/builds/2269641, 139
master ,Sun Apr 05 00:00:00 CEST 2015 ,gwelymernans, 21, 1586, 1743, 90.99, https://coveralls.io/builds/2269298, 138
master ,Sun Apr 05 00:00:00 CEST 2015 ,eliben, 21, 1564, 1747, 89.52, https://coveralls.io/builds/2268329, 137
master ,Sun Apr 05 00:00:00 CEST 2015 ,gwelymernans, 21, 1590, 1747, 91.01, https://coveralls.io/builds/2267852, 136
master ,Sun Apr 05 00:00:00 CEST 2015 ,gwelymernans, 21, 1578, 1747, 90.33, https://coveralls.io/builds/2267778, 135
master ,Sun Apr 05 00:00:00 CEST 2015 ,gwelymernans, 21, 1590, 1747, 91.01, https://coveralls.io/builds/2267773, 134
master ,Mon Apr 06 00:00:00 CEST 2015 ,gwelymernans, 20, 1553, 1708, 90.93, https://coveralls.io/builds/2271105, 143
master ,Mon Apr 06 00:00:00 CEST 2015 ,gwelymernans, 20, 1553, 1708, 90.93, https://coveralls.io/builds/2270434, 142
master ,Mon Apr 06 00:00:00 CEST 2015 ,gwelymernans, 20, 1553, 1708, 90.93, https://coveralls.io/builds/2270395, 141
master ,Tue Apr 07 00:00:00 CEST 2015 ,gwelymernans, 20, 1553, 1708, 90.93, https://coveralls.io/builds/2278446, 157
master ,Tue Apr 07 00:00:00 CEST 2015 ,eliben, 20, 1553, 1708, 90.93, https://coveralls.io/builds/2278320, 156
master ,Tue Apr 07 00:00:00 CEST 2015 ,eliben, 20, 1553, 1708, 90.93, https://coveralls.io/builds/2278313, 155
v0.1.4 ,Tue Apr 07 00:00:00 CEST 2015 ,eliben, 20, 1553, 1708, 90.93, https://coveralls.io/builds/2278300, 154
master ,Tue Apr 07 00:00:00 CEST 2015 ,eliben, 20, 1553, 1708, 90.93, https://coveralls.io/builds/2278295, 153
master ,Tue Apr 07 00:00:00 CEST 2015 ,eliben, 20, 1541, 1708, 90.22, https://coveralls.io/builds/2278279, 152
master ,Tue Apr 07 00:00:00 CEST 2015 ,eliben, 20, 1553, 1708, 90.93, https://coveralls.io/builds/2278147, 151
master ,Tue Apr 07 00:00:00 CEST 2015 ,gwelymernans, 20, 1553, 1708, 90.93, https://coveralls.io/builds/2278094, 150
master ,Wed Apr 08 00:00:00 CEST 2015 ,gwelymernans, 20, 1573, 1714, 91.77, https://coveralls.io/builds/2294880, 168
master ,Wed Apr 08 00:00:00 CEST 2015 ,gwelymernans, 20, 1585, 1714, 92.47, https://coveralls.io/builds/2294860, 167
master ,Wed Apr 08 00:00:00 CEST 2015 ,sbc100, 0, 1573, 1714, 91.77, https://coveralls.io/builds/2293487, 166
master ,Wed Apr 08 00:00:00 CEST 2015 ,sbc100, 20, 1585, 1714, 92.47, https://coveralls.io/builds/2292864, 165
master ,Wed Apr 08 00:00:00 CEST 2015 ,gwelymernans, 20, 1585, 1714, 92.47, https://coveralls.io/builds/2288035, 164
master ,Wed Apr 08 00:00:00 CEST 2015 ,gwelymernans, 20, 1581, 1714, 92.24, https://coveralls.io/builds/2287955, 163
master ,Wed Apr 08 00:00:00 CEST 2015 ,gwelymernans, 20, 1581, 1714, 92.24, https://coveralls.io/builds/2287882, 162
master ,Wed Apr 08 00:00:00 CEST 2015 ,gwelymernans, 20, 1581, 1714, 92.24, https://coveralls.io/builds/2287876, 161
master ,Wed Apr 08 00:00:00 CEST 2015 ,gwelymernans, 20, 1554, 1710, 90.88, https://coveralls.io/builds/2287848, 160
master ,Thu Apr 09 00:00:00 CEST 2015 ,gwelymernans, 20, 1611, 1738, 92.69, https://coveralls.io/builds/2304107, 176
master ,Thu Apr 09 00:00:00 CEST 2015 ,gwelymernans, 20, 1590, 1729, 91.96, https://coveralls.io/builds/2303781, 175
master ,Thu Apr 09 00:00:00 CEST 2015 ,gwelymernans, 20, 1598, 1725, 92.64, https://coveralls.io/builds/2303630, 174
master ,Thu Apr 09 00:00:00 CEST 2015 ,eliben, 20, 1598, 1725, 92.64, https://coveralls.io/builds/2299938, 173
master ,Thu Apr 09 00:00:00 CEST 2015 ,eliben, 20, 1597, 1724, 92.63, https://coveralls.io/builds/2299580, 172
master ,Thu Apr 09 00:00:00 CEST 2015 ,gwelymernans, 20, 1597, 1724, 92.63, https://coveralls.io/builds/2297660, 171
master ,Thu Apr 09 00:00:00 CEST 2015 ,gwelymernans, 20, 1594, 1721, 92.62, https://coveralls.io/builds/2297083, 170
master ,Fri Apr 10 00:00:00 CEST 2015 ,gwelymernans, 20, 1615, 1755, 92.02, https://coveralls.io/builds/2311235, 177
v0.1.5 ,Sat Apr 11 00:00:00 CEST 2015 ,gwelymernans, 20, 1618, 1759, 91.98, https://coveralls.io/builds/2371612, 210
master ,Sat Apr 11 00:00:00 CEST 2015 ,gwelymernans, 20, 1618, 1759, 91.98, https://coveralls.io/builds/2317348, 181
master ,Sat Apr 11 00:00:00 CEST 2015 ,gwelymernans, 20, 1618, 1759, 91.98, https://coveralls.io/builds/2317162, 180
master ,Sat Apr 11 00:00:00 CEST 2015 ,gwelymernans, 20, 1618, 1759, 91.98, https://coveralls.io/builds/2317161, 179
master ,Sat Apr 11 00:00:00 CEST 2015 ,pignacio, 20, 1602, 1754, 91.33, https://coveralls.io/builds/2315064, 178
master ,Mon Apr 13 00:00:00 CEST 2015 ,tedmiston, 20, 1618, 1759, 91.98, https://coveralls.io/builds/2322638, 182
master ,Wed Apr 15 00:00:00 CEST 2015 ,eliben, 20, 1606, 1759, 91.3, https://coveralls.io/builds/2340424, 188
master ,Wed Apr 15 00:00:00 CEST 2015 ,hayd, 20, 1606, 1759, 91.3, https://coveralls.io/builds/2340032, 187
master ,Thu Apr 16 00:00:00 CEST 2015 ,hayd, 20, 1626, 1773, 91.71, https://coveralls.io/builds/2349526, 194
master ,Thu Apr 16 00:00:00 CEST 2015 ,hayd, 20, 1626, 1773, 91.71, https://coveralls.io/builds/2349489, 193
master ,Thu Apr 16 00:00:00 CEST 2015 ,eliben, 20, 1626, 1773, 91.71, https://coveralls.io/builds/2348953, 192
master ,Thu Apr 16 00:00:00 CEST 2015 ,eliben, 20, 1626, 1773, 91.71, https://coveralls.io/builds/2348877, 191
master ,Thu Apr 16 00:00:00 CEST 2015 ,eliben, 20, 1618, 1758, 92.04, https://coveralls.io/builds/2348824, 190
master ,Fri Apr 17 00:00:00 CEST 2015 ,gwelymernans, 20, 1632, 1780, 91.69, https://coveralls.io/builds/2359176, 202
master ,Fri Apr 17 00:00:00 CEST 2015 ,gwelymernans, 20, 1632, 1780, 91.69, https://coveralls.io/builds/2359174, 201
master ,Fri Apr 17 00:00:00 CEST 2015 ,hayd, 20, 1632, 1780, 91.69, https://coveralls.io/builds/2359123, 200
master ,Fri Apr 17 00:00:00 CEST 2015 ,gwelymernans, 20, 1632, 1780, 91.69, https://coveralls.io/builds/2358808, 199
master ,Fri Apr 17 00:00:00 CEST 2015 ,gwelymernans, 20, 1632, 1780, 91.69, https://coveralls.io/builds/2358572, 198
master ,Fri Apr 17 00:00:00 CEST 2015 ,gwelymernans, 20, 1629, 1776, 91.72, https://coveralls.io/builds/2358497, 197
master ,Sat Apr 18 00:00:00 CEST 2015 ,gwelymernans, 20, 1646, 1799, 91.5, https://coveralls.io/builds/2367399, 206
master ,Sat Apr 18 00:00:00 CEST 2015 ,gwelymernans, 20, 1639, 1787, 91.72, https://coveralls.io/builds/2367394, 205
master ,Sun Apr 19 00:00:00 CEST 2015 ,paetzke, 20, 1650, 1808, 91.26, https://coveralls.io/builds/2371854, 212
master ,Sun Apr 19 00:00:00 CEST 2015 ,gwelymernans, 20, 1636, 1808, 90.49, https://coveralls.io/builds/2371762, 211
v0.1.6 ,Sun Apr 19 00:00:00 CEST 2015 ,gwelymernans, 20, 1638, 1812, 90.4, https://coveralls.io/builds/2371601, 209
master ,Sun Apr 19 00:00:00 CEST 2015 ,gwelymernans, 20, 1638, 1812, 90.4, https://coveralls.io/builds/2371575, 208
master ,Sun Apr 19 00:00:00 CEST 2015 ,gwelymernans, 20, 1652, 1812, 91.17, https://coveralls.io/builds/2370182, 207
master ,Mon Apr 20 00:00:00 CEST 2015 ,gwelymernans, 20, 1677, 1808, 92.75, https://coveralls.io/builds/2381028, 219
master ,Mon Apr 20 00:00:00 CEST 2015 ,gwelymernans, 20, 1677, 1808, 92.75, https://coveralls.io/builds/2380473, 217
master ,Mon Apr 20 00:00:00 CEST 2015 ,hayd, 20, 1677, 1808, 92.75, https://coveralls.io/builds/2375623, 216
master ,Mon Apr 20 00:00:00 CEST 2015 ,gwelymernans, 20, 1650, 1808, 91.26, https://coveralls.io/builds/2374663, 215
master ,Tue Apr 21 00:00:00 CEST 2015 ,petedmarsh, 20, 1682, 1813, 92.77, https://coveralls.io/builds/2385861, 227
master ,Tue Apr 21 00:00:00 CEST 2015 ,gwelymernans, 20, 1682, 1813, 92.77, https://coveralls.io/builds/2384568, 226
master ,Tue Apr 21 00:00:00 CEST 2015 ,gwelymernans, 20, 1682, 1813, 92.77, https://coveralls.io/builds/2384400, 225
master ,Tue Apr 21 00:00:00 CEST 2015 ,gwelymernans, 20, 1671, 1802, 92.73, https://coveralls.io/builds/2384338, 224
master ,Tue Apr 21 00:00:00 CEST 2015 ,hayd, 20, 1671, 1802, 92.73, https://coveralls.io/builds/2384028, 222
master ,Tue Apr 21 00:00:00 CEST 2015 ,gwelymernans, 20, 1671, 1802, 92.73, https://coveralls.io/builds/2383936, 221
master ,Tue Apr 21 00:00:00 CEST 2015 ,hayd, 20, 1677, 1808, 92.75, https://coveralls.io/builds/2383268, 220
master ,Wed Apr 22 00:00:00 CEST 2015 ,gwelymernans, 20, 1673, 1818, 92.02, https://coveralls.io/builds/2399269, 234
master ,Wed Apr 22 00:00:00 CEST 2015 ,eliben, 20, 1682, 1813, 92.77, https://coveralls.io/builds/2392864, 232
master ,Fri Apr 24 00:00:00 CEST 2015 ,gwelymernans, 20, 1674, 1829, 91.53, https://coveralls.io/builds/2420900, 247
master ,Fri Apr 24 00:00:00 CEST 2015 ,gwelymernans, 20, 1674, 1829, 91.53, https://coveralls.io/builds/2419583, 243
master ,Fri Apr 24 00:00:00 CEST 2015 ,gwelymernans, 20, 1686, 1815, 92.89, https://coveralls.io/builds/2418260, 242
master ,Fri Apr 24 00:00:00 CEST 2015 ,gwelymernans, 20, 1673, 1818, 92.02, https://coveralls.io/builds/2417536, 241
master ,Fri Apr 24 00:00:00 CEST 2015 ,gwelymernans, 20, 1687, 1818, 92.79, https://coveralls.io/builds/2412516, 236
v0.1.7 ,Sat Apr 25 00:00:00 CEST 2015 ,gwelymernans, 20, 1688, 1833, 92.09, https://coveralls.io/builds/2420912, 250
master ,Sat Apr 25 00:00:00 CEST 2015 ,gwelymernans, 20, 1688, 1833, 92.09, https://coveralls.io/builds/2420910, 249
master ,Sat Apr 25 00:00:00 CEST 2015 ,gwelymernans, 20, 1688, 1833, 92.09, https://coveralls.io/builds/2420907, 248
v0.1.7 ,Sat Apr 25 00:00:00 CEST 2015 ,gwelymernans, 20, 1688, 1829, 92.29, https://coveralls.io/builds/2420880, 246
master ,Sat Apr 25 00:00:00 CEST 2015 ,gwelymernans, 20, 1688, 1829, 92.29, https://coveralls.io/builds/2420877, 245
master ,Sat Apr 25 00:00:00 CEST 2015 ,gwelymernans, 20, 1674, 1829, 91.53, https://coveralls.io/builds/2420850, 244
master ,Mon Apr 27 00:00:00 CEST 2015 ,sbc100, 20, 1688, 1833, 92.09, https://coveralls.io/builds/2433543, 255
master ,Tue Apr 28 00:00:00 CEST 2015 ,eliben, 20, 1716, 1853, 92.61, https://coveralls.io/builds/2440719, 262
master ,Tue Apr 28 00:00:00 CEST 2015 ,eliben, 20, 1706, 1853, 92.07, https://coveralls.io/builds/2440454, 261
master ,Tue Apr 28 00:00:00 CEST 2015 ,eliben, 20, 1706, 1853, 92.07, https://coveralls.io/builds/2440450, 260
master ,Tue Apr 28 00:00:00 CEST 2015 ,eliben, 20, 1706, 1853, 92.07, https://coveralls.io/builds/2440427, 259
master ,Tue Apr 28 00:00:00 CEST 2015 ,eliben, 20, 1688, 1833, 92.09, https://coveralls.io/builds/2440397, 258
master ,Thu Apr 30 00:00:00 CEST 2015 ,eliben, 21, 1721, 1857, 92.68, https://coveralls.io/builds/2462356, 267
master ,Thu Apr 30 00:00:00 CEST 2015 ,sbc100, 21, 1721, 1857, 92.68, https://coveralls.io/builds/2460471, 266
master ,Sat May 02 00:00:00 CEST 2015 ,eliben, 21, 1768, 1857, 95.21, https://coveralls.io/builds/2472042, 272
master ,Sat May 02 00:00:00 CEST 2015 ,eliben, 21, 1760, 1857, 94.78, https://coveralls.io/builds/2472024, 271
master ,Sat May 02 00:00:00 CEST 2015 ,eliben, 21, 1741, 1857, 93.75, https://coveralls.io/builds/2471931, 270
master ,Sat May 02 00:00:00 CEST 2015 ,eliben, 21, 1714, 1857, 92.3, https://coveralls.io/builds/2471895, 269
master ,Sat May 02 00:00:00 CEST 2015 ,eliben, 21, 1721, 1857, 92.68, https://coveralls.io/builds/2471852, 268
v0.1.8 ,Sun May 03 00:00:00 CEST 2015 ,gwelymernans, 21, 1768, 1857, 95.21, https://coveralls.io/builds/2477818, 277
master ,Sun May 03 00:00:00 CEST 2015 ,gwelymernans, 21, 1768, 1857, 95.21, https://coveralls.io/builds/2474203, 274
master ,Sun May 03 00:00:00 CEST 2015 ,gwelymernans, 21, 1768, 1857, 95.21, https://coveralls.io/builds/2474041, 273
master ,Mon May 04 00:00:00 CEST 2015 ,gwelymernans, 21, 1787, 1872, 95.46, https://coveralls.io/builds/2483376, 281
master ,Mon May 04 00:00:00 CEST 2015 ,gwelymernans, 21, 1773, 1872, 94.71, https://coveralls.io/builds/2482722, 280
master ,Mon May 04 00:00:00 CEST 2015 ,gwelymernans, 21, 1785, 1870, 95.45, https://coveralls.io/builds/2479392, 279
master ,Mon May 04 00:00:00 CEST 2015 ,gwelymernans, 21, 1771, 1856, 95.42, https://coveralls.io/builds/2477949, 278
master ,Mon May 04 00:00:00 CEST 2015 ,gwelymernans, 21, 1771, 1860, 95.22, https://coveralls.io/builds/2477793, 276
master ,Mon May 04 00:00:00 CEST 2015 ,gwelymernans, 21, 1771, 1860, 95.22, https://coveralls.io/builds/2477761, 275
master ,Sun May 17 00:00:00 CEST 2015 ,gwelymernans, 21, 1787, 1872, 95.46, https://coveralls.io/builds/2584451, 284
v0.1.9 ,Mon May 18 00:00:00 CEST 2015 ,gwelymernans, 21, 1772, 1872, 94.66, https://coveralls.io/builds/2586703, 288
master ,Mon May 18 00:00:00 CEST 2015 ,gwelymernans, 21, 1787, 1872, 95.46, https://coveralls.io/builds/2586702, 287
master ,Mon May 18 00:00:00 CEST 2015 ,gwelymernans, 21, 1787, 1872, 95.46, https://coveralls.io/builds/2586641, 286
master ,Thu May 21 00:00:00 CEST 2015 ,gwelymernans, 21, 1774, 1873, 94.71, https://coveralls.io/builds/2616308, 289
master ,Fri May 22 00:00:00 CEST 2015 ,gwelymernans, 21, 1784, 1868, 95.5, https://coveralls.io/builds/2630353, 291
master ,Tue May 26 00:00:00 CEST 2015 ,gwelymernans, 21, 1771, 1870, 94.71, https://coveralls.io/builds/2647707, 293
master ,Fri May 29 00:00:00 CEST 2015 ,gwelymernans, 21, 1786, 1870, 95.51, https://coveralls.io/builds/2684937, 296
master ,Fri May 29 00:00:00 CEST 2015 ,Ecno92, 21, 1786, 1870, 95.51, https://coveralls.io/builds/2680649, 295
v0.2.0 ,Sun May 31 00:00:00 CEST 2015 ,gwelymernans, 21, 1771, 1870, 94.71, https://coveralls.io/builds/2690605, 298
master ,Sun May 31 00:00:00 CEST 2015 ,gwelymernans, 21, 1786, 1870, 95.51, https://coveralls.io/builds/2690604, 297
master ,Mon Jun 15 00:00:00 CEST 2015 ,gwelymernans, 21, 1786, 1870, 95.51, https://coveralls.io/builds/2816095, 301
master ,Tue Jun 16 00:00:00 CEST 2015 ,hayd, 21, 1786, 1870, 95.51, https://coveralls.io/builds/2825367, 302
master ,Wed Jun 17 00:00:00 CEST 2015 ,gwelymernans, 21, 1797, 1876, 95.79, https://coveralls.io/builds/2843921, 308
master ,Wed Jun 17 00:00:00 CEST 2015 ,hayd, 21, 1797, 1876, 95.79, https://coveralls.io/builds/2843912, 307
master ,Wed Jun 17 00:00:00 CEST 2015 ,gwelymernans, 21, 1797, 1876, 95.79, https://coveralls.io/builds/2842375, 306
